"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"240","Cedric Tillman","WR","CLE",87.2,10.5,0.192,71.6,102,-40.9,-32.2,-55.7,239,218,279,61,"9",176,2.43,28
"241","Marquise Brown","WR","KC",87,25.4,0.989,36.2,113,-41.1,-67.6,-45,240,339,257,62,"9",157,3.44,82
"242","Zack Moss","RB","FA",71.9,5.4,0.604,68.2,75.6,-41.8,-15.9,-65.7,241,175,306,54,"12",194,1,11
"243","Christian Kirk","WR","HOU",86,16,0.304,70.5,110,-42.1,-33.3,-47.4,242,221,261,63,"9",156,4.41,50
"244","Sam Darnold","QB","SEA",231,18,2.45,205,255,-42.2,-53,-41.7,243,270,250,26,"9",147,3.94,23
"245","Bhayshul Tuten","RB","JAC",71.3,23.3,0.035,37,107,-42.4,-47.1,-34.4,244,251,231,55,"12",150,6.11,94
"246","Braelon Allen","RB","NYJ",71.2,13,0.307,50.3,90.5,-42.4,-33.8,-50.8,245,222,269,56,"12",154,3.81,25
"247","Romeo Doubs","WR","GB",85.7,17.3,0.352,65.7,108,-42.4,-38.1,-49.4,246,230,266,64,"9",168,2.65,53
"248","Jaylen Wright","RB","MIA",70.9,22.2,0.984,37,103,-42.7,-47.1,-38.1,247,250,237,57,"12",166,2.66,76
"249","Jayden Higgins","WR","HOU",85.3,36.3,2.01,22.1,126,-42.8,-81.8,-31.2,248,429,224,65,"9",135,14,97
"250","Roschon Johnson","RB","CHI",69.9,16.6,1.53,53.6,99.7,-43.7,-30.5,-41.5,249,215,248,58,"13",169,3.57,52
"251","Aaron Rodgers","QB","PIT",228,23.4,6.93,209,273,-44.7,-49.1,-23.7,250,258,205,27,"9",155,5.22,54
"252","Quentin Johnston","WR","LAC",83.3,27.7,0.914,48.5,120,-44.8,-55.4,-37.4,251,281,235,66,"9",163,2.6,89
"253","Dylan Sampson","RB","CLE",68.4,29,3.96,16.7,99.3,-45.2,-67.4,-42,252,334,251,59,"13",154,4.64,96
"254","Michael Wilson","WR","ARI",82.4,14,2.03,63.7,100,-45.7,-40.1,-57.5,254,234,282,67,"9",198,1.21,72
"255","Wan'Dale Robinson","WR","NYG",80.4,12.5,0.43,59.2,93.9,-47.7,-44.6,-63.7,257,245,299,68,"9",178,2,68
"256","Demario Douglas","WR","NE",80,14.7,3.51,59.6,99.5,-48.2,-44.2,-58.1,258,244,286,69,"9",170,3.93,71
"257","Justice Hill","RB","BAL",64.5,15,1.87,38.6,86.5,-49.2,-45.5,-54.8,260,247,276,60,"13",183,2.28,66
"258","MarShawn Lloyd","RB","GB",62.6,25.3,2.79,27.1,102,-51,-57,-39.2,261,289,241,61,"13",182,1.21,89
"259","Cam Ward","QB","TEN",221,26.1,19.5,183,257,-51.6,-75.3,-40.1,262,394,245,28,"10",148,32.5,60
"260","Luther Burden","WR","CHI",76.4,21.7,0.253,42,111,-51.7,-61.8,-46.2,263,305,260,70,"9",151,13,81
"261","Tyler Lockett","WR","TEN",76.2,20.2,1.69,52.7,114,-51.9,-51.2,-43.8,265,262,255,71,"9",191,3.12,93
"262","Josh Palmer","WR","BUF",74.5,18.4,0.636,49.2,99,-53.6,-54.6,-58.6,269,277,287,72,"9",174,3.96,83
"263","Gus Edwards","RB","FA",59.8,NA,0.652,NA,NA,-53.8,NA,NA,270,NA,NA,62,"13",NA,NA,97
"264","Kendre Miller","RB","NO",59.1,23.5,1.45,40.4,107,-54.5,-43.7,-34.3,274,242,230,63,"13",179,3.31,86
"265","Miles Sanders","RB","DAL",57.7,11.9,1.56,39.9,71.8,-55.9,-44.2,-69.4,277,243,313,64,"13",196,2.09,46
"266","Ty Johnson","RB","BUF",56.1,17.9,1.78,38.8,83.5,-57.5,-45.3,-57.8,279,246,283,65,"13",209,0.972,83
"267","Raheem Mostert","RB","LVR",54.4,19.7,1.81,29.5,91.2,-59.3,-54.6,-50.1,287,276,268,66,"13",192,1.55,82
"268","Blake Corum","RB","LAR",52.5,21.7,0.789,32.3,96,-61.1,-51.8,-45.2,294,264,258,67,"13",192,1.18,80
