Unnamed: 0,player,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty
111,Travis Hunter,WR,JAC,167.0,24.7,0.129,136.0,204.0,2.78,0.137,5.88,107,127.0,92.0,32,6,70.2,24.7,89.0
113,Deebo Samuel,WR,WAS,167.0,21.9,0.959,132.0,202.0,2.65,-3.75,3.47,109,156.0,109.0,33,6,84.6,14.7,60.0
114,Kaimi Fairbairn,K,HOU,150.0,6.49,0.296,141.0,159.0,2.61,2.37,0.551,110,112.0,124.0,2,1,154.0,1.47,45.0
115,Texans,DST,HOU,96.1,10.5,2.57,79.7,108.0,2.57,-2.34,1.3,111,148.0,121.0,2,2,131.0,1.61,29.0
118,Cameron Dicker,K,LAC,150.0,10.6,0.0632,129.0,159.0,2.32,-9.36,0.694,113,220.0,123.0,3,1,135.0,2.68,16.0
119,Chase McLaughlin,K,TB,150.0,9.11,0.71,133.0,159.0,2.25,-5.73,0.491,114,173.0,125.0,4,1,148.0,2.23,29.0
121,Jauan Jennings,WR,SF,166.0,18.5,1.35,145.0,192.0,1.69,9.16,-6.44,116,91.0,188.0,34,6,107.0,8.81,54.0
123,Jake Bates,K,DET,149.0,4.03,0.794,145.0,156.0,1.54,6.76,-1.92,118,96.0,151.0,5,1,140.0,2.42,1.0
124,Dallas Goedert,TE,PHI,118.0,14.5,1.53,93.0,137.0,1.53,-5.03,-3.18,119,167.0,159.0,12,5,132.0,4.74,49.0
127,Travis Etienne,RB,JAC,133.0,22.9,1.46,105.0,168.0,1.46,0.232,7.01,121,125.0,88.0,34,9,98.7,16.2,55.0
130,Jake Elliott,K,PHI,148.0,4.26,0.364,140.0,153.0,0.749,1.83,-5.78,124,115.0,178.0,6,1,154.0,1.79,6.0
132,Matt Gay,K,WAS,148.0,6.95,0.384,142.0,160.0,0.384,3.98,1.89,126,101.0,118.0,7,1,157.0,1.4,68.0
133,Jaylen Waddle,WR,MIA,165.0,22.4,0.345,126.0,189.0,0.345,-9.84,-9.54,127,224.0,217.0,35,6,78.1,15.8,65.0
137,Jared Goff,QB,DET,273.0,21.0,1.5,248.0,301.0,0.0,-10.6,3.59,130,229.0,106.0,13,6,95.5,6.91,77.0
138,J.K. Dobbins,RB,DEN,132.0,18.6,1.2,104.0,159.0,0.0,0.00283,-2.65,130,129.0,154.0,35,9,110.0,8.12,61.0
139,Chris Olave,WR,NO,164.0,20.5,0.249,137.0,200.0,0.0,1.55,1.7,130,117.0,119.0,36,6,92.1,8.18,49.0
140,Jake Ferguson,TE,DAL,116.0,6.97,2.58,110.0,129.0,0.0,11.9,-10.5,130,84.0,225.0,13,5,135.0,4.37,9.0
141,Chris Boswell,K,PIT,147.0,4.59,0.544,142.0,153.0,0.0,3.98,-4.91,130,102.0,171.0,8,1,145.0,1.98,48.0
142,Ravens,DST,BAL,93.5,8.36,0.713,82.0,106.0,0.0,0.0,-0.702,130,130.0,134.0,3,3,116.0,2.07,10.0
147,Tetairoa McMillan,WR,CAR,164.0,28.7,1.16,117.0,208.0,-0.249,-18.5,9.83,132,324.0,80.0,37,6,71.1,28.6,86.0
149,Jason Sanders,K,MIA,147.0,9.96,0.473,134.0,162.0,-0.544,-4.24,3.59,134,162.0,107.0,9,1,141.0,1.54,74.0
150,Eagles,DST,PHI,92.8,10.6,3.65,78.4,104.0,-0.713,-3.61,-2.99,135,154.0,157.0,4,4,116.0,1.59,32.0
